Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:05,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:10,0,0,0,0,0.01
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:15,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:20,0,0,0,0,0.011
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:25,0,0,0,0,0.016
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:30,0,0,0,0,0.012
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:35,0,0,0,0,0.007
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:40,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:45,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:50,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 00:55,0,0,0,0,0.008
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:00,0,0,0,0,0.008
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:05,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:10,0,0,0,0,0.009
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:15,0,0,0,0,0.012
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:20,0,0,0,0,0.012
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:25,0,0,0,0,0.015
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:30,0,0,0,0,0.012
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:35,0,0,0,0,0.015
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:40,0,0,0,0,0.012
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:45,0,0,0,0,0.007
SF17,"Pulgas Reservoir, San Mateo","Canada Road",5,2016-01-6? 01:50,0,0,0,0,0.006
