Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 13:50,5.667,0,21.22,13.03,329.7
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 13:55,5.758,0,3.654,12.98,298.1
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:00,6.163,0,11.35,12.08,353.8
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:05,5.087,0,360,12.41,211.5
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:10,3.103,0,345.8,12.91,716.6
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:15,3.808,0,338.4,13.04,207.4
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:20,3.934,0,343.1,12.97,206.1
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:25,4.474,0,345,12.76,251.6
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:30,3.75,0,332.7,12.92,339.6
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:35,3.318,0,337.4,12.7,141.7
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:40,4.466,0,340.9,12.69,158.4
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:45,4.863,0,349.5,12.31,135.2
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:50,3.968,0,346.3,12.17,91.1
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 14:55,4.104,0,337.9,12.12,62.66
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:00,4.573,0,343.5,11.95,44.3
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:05,5.292,0,342.7,11.95,50.75
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:10,3.35,0,334,12.03,50.12
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:15,4.994,0,348,12.02,64.87
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:20,4.626,0,348.2,11.82,68.52
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:25,3.91,0,342.2,11.68,51.8
SF37,"Chinatown Medical Center","Chinatown Medical Center",5,2016-03-6? 15:30,4.032,0,340.2,11.55,50.15
