"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1956-03";6.1;3;23.9;10;11.2;31.6;14.1;38.7;9.3
"1956-04";9;13.2;6;4.2;9.9;22.7;16;9.9;19
"1956-05";7.4;8.2;51.1;8;13.9;28.6;10.1;32.2;11.5
"1956-06";9;7.4;12.3;6.6;16.7;31.1;10.2;19.9;16.5
"1956-07";6.5;6.1;51.8;7.8;15.2;24.7;4.4;11.8;10.1
"1956-08";1.8;11.7;15.1;14.6;5.2;21.4;1.1;8.5;1.8
"1956-09";24.2;16;87.4;12.4;21.9;33;13.1;10.4;38.8
"1956-10";8.8;18.6;40.6;4;30.9;42.9;24.4;26;20.5
"1956-11";15.6;3.2;36;2.9;22.4;34.2;27.3;24.1;26.8
"1956-12";15.8;13;12;12;27.6;39.2;11.9;35;14.9
"1957-01";9;8.2;12;3.2;21.4;33;14.9;20.8;22.6
"1957-02";10.1;8.9;27.2;4.2;10.4;25.6;22.2;19.4;12
"1957-03";11.8;11.9;17.7;4;16.6;49.3;6.6;30.4;5.3
"1957-04";6.1;8.5;31.4;3.2;13.6;27;10;24.1;14.4
"1957-05";8.8;6.8;6.5;4;25.9;55.8;15.9;34.3;13.7
"1957-06";7.7;4.9;5.3;2;7.9;23.6;9.4;16.1;8.6
"1957-07";5.3;5.7;5.6;15.2;12.5;18.3;12.7;16.1;6.8
"1957-08";7.1;11.8;11.6;9.5;18.8;59.9;17.1;35.4;12.2
"1957-09";3.6;10.8;42.5;3;11.2;14.6;11.5;16.5;2.7
"1957-10";30.2;19.4;13.2;3;21.5;28;19;27.4;12.1
"1957-11";9.8;14;19.6;0;18.3;30;13;22.7;10.8
"1957-12";5.5;11;11.3;0;13.4;21.2;17.2;14.4;16.4
"1958-01";10.6;13.1;27.8;0;19.8;41;19.7;22.1;11.1
"1958-02";7.2;11.5;15.6;0;8.6;28.7;7.5;24.2;8.2
"1958-03";5.8;5.1;6.9;0;5.2;22.7;5.7;31.7;5.4
"1958-04";7.6;9.2;15;0;20.9;27.2;21.9;15.5;11
"1958-05";1.5;4;2.2;0;2.8;9;5.6;3.3;3.1
"1958-06";3.3;4;20.2;3;7;15.5;22.3;17.7;5.7
"1958-07";7.9;23.9;5.6;19.5;7.5;19.7;4.2;19;21
"1958-08";4.2;5.5;56.7;10.2;6.8;19.7;4.8;29.1;7.6
"1958-09";9.5;0.4;28.3;1.5;23.4;36.2;9.4;23.5;15
"1958-10";25.9;19.5;57;3.1;21.3;50;18.5;34.7;16.2
"1958-11";23.2;12;15.9;6;29.3;35.9;29.1;31;61.2
"1958-12";24.4;13.4;18.3;2.7;11.8;26.4;8.4;35.9;9.7
"1959-01";7.2;5.8;6.2;0;19.4;48.2;8.4;16.2;23.8
"1959-02";19.1;12.8;24.6;0;33.6;31.7;29.2;23.2;25.6
"1959-03";13.5;7.2;27.9;4.5;16.1;30.6;17.8;19.4;17.5
