"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1978-01";17.4;17.3;32.8;5.7;26.9;24.4;16.7;42.5;8
"1978-02";13.8;6.8;16.7;4.1;16.6;28.6;6.5;32.1;3
"1978-03";15.5;14.7;51.5;4.5;10;19.9;11.9;29.3;8.1
"1978-04";4.3;1;7.5;3.5;20;16.7;3.5;20.6;10.7
"1978-05";4.3;10.1;8.2;10.8;13.4;58.4;18;80;15.9
"1978-06";3.2;8.3;27.7;5;11.5;18.7;7.8;23.1;5.6
"1978-07";21.8;12.4;61.6;7.2;7.7;13.9;4.1;18.6;3
"1978-08";15.2;9.6;23.2;4.8;22.5;22.1;9.1;30.3;14
"1978-09";11;6.1;31.7;2.9;15.5;22.2;9.9;28.4;8.1
"1978-10";13.1;12.7;16.5;2.6;15.1;21.7;17.8;20.5;25
"1978-11";14.2;19.7;25.3;4.3;24.9;61.2;15;142;30.4
"1978-12";2.8;4;32.5;3.3;28.3;28.8;15.7;37.2;8.9
"1979-01";9;5.7;19.3;6;27.7;29.8;14.5;46.7;4.1
"1979-02";13.3;1.6;44.9;5.5;19.9;51.2;16.4;22.6;20
"1979-03";2.4;6.6;13.5;4.5;8.2;8;5.1;17.6;8.4
"1979-04";5.4;11.4;12;8;7.7;35;3.5;28;9.6
"1979-05";3.4;6.4;67.9;3.5;19.4;21;6.5;24.7;2
"1979-06";5.2;9.8;8.9;11;14.8;17.9;10;24;9
"1979-07";3.7;5;20.8;6.1;15.5;15.1;16.5;22.8;13.4
"1979-08";5.8;4.2;85.5;9.4;11.9;26.1;9.8;43.5;6.8
"1979-09";60.8;17.7;74.5;8.8;23.5;41.6;14.2;85.8;12.8
"1979-10";16.2;3.4;35;2.6;21.3;43.3;20.1;35.4;28.9
"1979-11";44.9;15.6;22;3.3;24.5;35;22.8;145.9;19.1
"1979-12";8.3;9.3;23.1;5.4;14.8;22.9;16.1;23.7;13.2
"1980-01";14.3;11.8;23;4.3;14.1;25.5;10.8;24.7;6.1
"1980-02";4.1;5.3;31.2;11.9;23.8;38.8;16.9;24.9;26.1
"1980-03";4.6;11.9;17.9;1.3;25.1;61.2;26.6;62.1;8.3
"1980-04";11.2;5;10;2.7;23.6;40.9;17.6;41.2;11.6
"1980-05";3.5;3.2;36.9;4.2;11.1;51.2;8.1;26.2;7.9
"1980-06";8.4;13.8;73.9;9.8;4.9;26.4;4.3;11.1;3.7
"1980-07";5.6;5.8;8.1;7.7;13.9;15.1;5.3;17.3;13.2
"1980-08";4.9;9.2;25;10.2;44;23.3;35.8;22.5;10.5
"1980-09";13.1;9.9;159.8;3.8;13.2;35.6;10.5;15.8;7
"1980-10";15.4;9;42.9;3;35.7;43.4;20.2;38.9;5.9
"1980-11";5;11.3;10.3;6.1;25.2;91.3;10.8;28;24.6
"1980-12";5.6;7.6;13.7;5.7;47.2;18.7;15.1;40;18.2
"1981-01";10.8;11.2;23;5.1;18;22.9;14.5;60;14.2
"1981-02";14.3;14.8;22.6;7.5;21.1;20.8;14;27.8;10
"1981-03";11.4;12.3;19.5;7;29.9;17.8;11.9;22.8;6.8
"1981-04";5.3;5.9;18.4;3.3;17.8;21.5;17.3;52.6;19.2
"1981-05";5.2;3;8.7;6.6;10;11.5;20.5;29.4;11.4
"1981-06";11.9;5.2;21.1;10;14.4;17.8;11.9;17;11.2
"1981-07";9.5;7.6;20.8;17.8;9.2;14.1;6.1;12;4.9
"1981-08";8.9;14;25.4;20.6;16.2;49.9;13.8;46.7;18.6
"1981-09";51;25.3;61.3;17.1;5.7;19.1;11.9;14.8;21.4
"1981-10";29.4;13.6;19.8;5.7;10.6;15.2;10.6;25.6;3.9
"1981-11";7.4;9.1;47.4;6;31.2;40.6;12.4;55;6.1
"1981-12";16.1;19.6;17.3;4.1;21.1;15.2;16.3;47.1;11.9
"1982-01";4.8;20.3;51.8;6;19.8;27.5;21.2;33.6;13.3
"1982-02";7.3;9.8;72.5;5;60.3;27.7;31.4;58.4;18.5
"1982-03";10.4;11.6;13.2;10;16.9;24.2;12.2;16.7;10.6
"1982-04";7;7.3;18.3;3.9;9.8;30.6;9.7;20;10.7
"1982-05";5.3;7.8;26.2;6;13.5;24.2;8.7;35;5
"1982-06";7.2;8.5;5.6;1.5;27.3;16.7;13.7;14.4;23.7
"1982-07";16.7;11.5;28.8;14.3;27.7;44.4;25.8;30.1;18.4
"1982-08";26.2;21.6;20.6;20.5;20.7;30.1;11.2;18.5;4.7
"1982-09";50.4;17.7;58.7;14;25.1;23.8;11.4;44.2;13.5
"1982-10";67;19;46.2;22.2;14.5;20.9;11;38;12.8
"1982-11";13.8;16.9;33;21.5;21.9;27.5;17.4;70.6;9.9
"1982-12";10.9;16.8;14.3;5.5;21.8;40.9;20.3;27.2;15.4
"1983-01";49.4;23.7;83.5;6.7;18.6;18.9;24.1;19.3;17.4
"1983-02";8.7;16;26.1;4.9;22.7;38.6;9;33.3;9.3
"1983-03";9.9;18.4;56.8;5.2;39.2;57.1;33;42.4;26.7
"1983-04";7;18.3;25.8;3.3;15.8;8.8;13.6;39.4;10.7
"1983-05";1;6.9;64;1.2;7.7;10.4;4.6;13.4;2.4
"1983-06";16.3;27.4;31;24.4;18.3;37.9;13.4;29.3;19.2
"1983-07";17.5;10.6;7.8;10.8;38.1;19.8;13.3;37.8;11.2
"1983-08";14.6;11.1;18.6;20.4;34.9;25.2;26.7;59.2;14.7
"1983-09";10.1;6.6;51.7;5.9;11.2;8.5;12.2;24.1;16.6
"1983-10";14.3;18.3;200;5.4;27.5;31;28.3;32.9;23.4
"1983-11";13.6;27.7;34.8;8.6;9.7;20.8;9.4;26.6;17.7
"1983-12";19.5;20;21.3;3.8;37.3;24.7;25.1;50.3;31.9
"1984-01";25.8;12.9;37.1;7.2;24.3;18.3;13.3;33.9;17.3
"1984-02";13.7;36.9;20.9;18.9;27;62.4;19.7;53.8;16
"1984-03";5.9;9.3;21.1;4;27.9;21.8;14.9;21.2;11.5
"1984-04";11.4;9.1;16.4;4.6;17.6;36.7;24.9;43.6;5.7
"1984-05";11.8;4.4;4.4;5.2;15.5;16;21.6;19.5;4.7
"1984-06";4.6;6.8;22.3;8.4;26.1;27.4;20.4;21;18.1
"1984-07";13.8;4;8.7;9.9;29.1;23.1;23;24.8;14.3
"1984-08";18.6;11.1;21.9;8.2;30.7;32.8;42.4;42.6;19.1
"1984-09";12.3;20.4;54.1;5.4;32.1;72.6;13.8;66.7;10.6
"1984-10";36.8;16;37.5;16;19.7;32.7;16.8;67.9;9.1
"1984-11";7.9;10.9;51.4;5.3;25.5;31.3;22;22.3;49.3
"1984-12";9;14.4;45;2.8;24;20.3;23.7;36;10.2
"1985-01";6;10.6;10.5;4.1;24.7;41.9;15.8;57.6;8.7
"1985-02";6.2;3;5.4;4;13.5;14.2;16.1;16.3;3.5
"1985-03";9;14.3;17.8;3.5;19.8;36.8;16.4;42;6.7
"1985-04";11;7.9;26.8;5.5;14.6;13.6;13.6;33.8;4.5
"1985-05";29.5;26.9;14.1;8.4;6.1;24.3;3.1;19.6;6.5
"1985-06";0.3;5.4;22.4;5.1;13;15.3;8.6;21;9.5
"1985-07";21.5;13.2;58.5;20.2;12.7;48.1;10.3;17.8;8.9
"1985-08";3.9;17;99.7;11.9;8.3;30.5;9.1;9.2;2.2
"1985-09";18.5;3.8;30.6;5.2;13.7;35.8;15.2;18.2;9.4
"1985-10";13.5;16.3;46.9;6.6;22.4;36.7;30.1;16.4;36.5
"1985-11";17.6;7.7;15.9;3.7;29.9;26.4;15.3;27.5;12.2
"1985-12";8.5;19.6;29.4;3.8;7.6;8.6;9.8;19.5;8.7
"1986-01";13.1;21.2;26;6.6;23.3;30.2;15.3;40.6;10
"1986-02";7.9;0.6;14.9;0.2;41.5;18.7;34;48.3;29.8
"1986-03";11;9.3;34.3;3.7;18.8;48;28.2;25.1;16.9
"1986-04";17.9;7.9;14;3.3;21.2;15.3;17.1;21.2;7.7
"1986-05";48.4;30.6;68.4;6.2;10.4;9;11.4;14.2;2.8
"1986-06";8.4;7.7;14;9.5;13;37.7;10.1;13.2;12.8
"1986-07";19.1;8.7;38.6;5.2;23.5;26.9;16.8;26.2;9.4
"1986-08";6;2.5;8.2;3;15.3;24.4;7.5;22.9;14.8
"1986-09";11.1;6.4;41.9;4;17.1;17.4;6.4;14;13.1
"1986-10";13.5;8;24.1;6;13.9;47.1;10.6;51.5;10
"1986-11";23.6;25.7;53.1;5;20.1;32.8;16.5;35;5.7
"1986-12";5.6;9.1;24.8;;29.6;32.1;20.6;28.8;9.1
"1987-01";4.1;2.2;10.8;;14.7;30.8;13.5;22.1;10.4
"1987-02";4.8;12.2;42.5;2.5;30.4;21.1;32;14.8;15.6
"1987-03";17;6.9;21;4.6;32.7;37.3;15.7;42.3;13.9
"1987-04";8.7;15;19.9;;24.7;25.4;20.8;28.4;10.4
"1987-05";7;1.2;5.3;1.4;13;17.2;10.4;24.7;11
"1987-06";2.7;4.4;32.4;2.6;2.1;7.3;4.8;2.5;1.5
"1987-07";10;12.1;45.3;8.6;13.2;14.4;13.8;45.6;14.7
"1987-08";4.3;5.7;9.9;3.2;14;20.6;6.6;26.2;7.9
"1987-09";38.3;15.9;70.3;3.6;13.4;25.3;6.2;23.1;5.2
"1987-10";8;17.9;44.3;6.2;11.1;33.6;20.4;27;39.4
"1987-11";9;21.4;25.1;8.5;27.9;33;15;28;20.2
"1987-12";17.6;11.4;30.7;;12.5;25.6;17.7;22.8;14.2
"1988-01";6.1;10.3;45.3;;26.3;22.8;9.3;23.1;11.5
"1988-02";10.3;16.2;27.8;2;13.4;18.4;18.4;16.4;10.3
"1988-03";9;5.1;33.1;3;19.5;15.1;15.3;32.6;16.3
"1988-04";4.1;24.9;27.3;;10.1;18.5;5.2;24.8;5.9
"1988-05";8.7;7.4;42.7;23;16.3;25.2;16.8;20.6;9.7
"1988-06";6;3.7;9.9;5.6;23;49.3;13.7;44.5;17.5
"1988-07";10.8;10;40.3;17.3;13.6;37.4;13.2;24.2;15.4
"1988-08";23.9;17.3;74.1;6.5;20.2;49.3;15.4;28.1;18.2
"1988-09";25;15.1;52.9;11.4;13.7;20.6;8.8;8.7;10.3
"1988-10";48;7.3;50.8;8.2;20.7;62.4;26.3;54;15.6
"1988-11";15;7.6;19.7;3;24.5;19.4;14.3;32.8;8.3
"1988-12";10.2;12.4;20.4;2.1;15.7;23.2;11.2;27.5;24.1
"1989-01";10.5;26.6;23.9;7.2;24.2;33.1;18;26.7;42.7
"1989-02";8.3;29.9;17.6;10.3;20.4;23.8;16.6;26.6;19.9
"1989-03";6.3;41.3;25.7;5.4;25.7;20;15.4;15.7;21
"1989-04";10.5;15.3;28.6;5.8;31.3;33.1;48.2;37.6;20
"1989-05";38.9;6.6;20.3;3.6;26.3;58.3;26.7;42.8;15.6
"1989-06";5;2.8;45.6;3.1;21.3;19.4;6.2;12.2;8.2
"1989-07";9;16.2;29.8;7;18.3;40.2;13.8;25.4;7.8
"1989-08";13.5;22.6;44.4;14.1;35.6;19.3;20.7;50.6;21.1
"1989-09";19.1;10.9;25.8;12.3;25.6;29.4;20.8;23.8;18.1
"1989-10";16.1;4.9;30.6;6.2;10.8;23.1;9.4;14.3;8.8
"1989-11";4.5;20.1;13.8;6.2;19.3;23.2;15.9;26.3;12.6
"1989-12";6.2;10.2;10;3;15;40.5;15.4;29.1;15.4
"1990-01";27;14.1;25.6;5.6;25.2;28.5;22.3;30;13.2
"1990-02";11.1;18.3;59;5.2;4.2;20.3;3.7;19.1;7.3
"1990-03";6.8;9;37.9;3.1;43.3;21;24.9;28.2;15.4
"1990-04";4.3;5.6;9.8;2.1;13.5;17;9.2;27.4;20.6
"1990-05";9.2;3.1;4.4;4.1;29.1;25.4;23.5;48.9;30.3
"1990-06";6.7;4.9;13;8.1;7.7;13.6;10.4;15.3;14.9
"1990-07";8.2;3.2;27.7;;32;35.4;8;43.7;7.8
"1990-08";20.6;12.5;29.1;4.8;20.1;40.7;10.5;19.1;14.1
"1990-09";18.6;9.7;41.1;;37.9;27.8;33.9;25.1;16.8
"1990-10";26.5;15;61.7;6.9;12.5;41.3;11;21.4;10.6
"1990-11";31.4;9.3;85.9;4.3;19.5;21.3;15.5;24.8;10.5
"1990-12";7;11.5;24.6;0.8;19.6;16.2;12.6;39;22.8
"1991-01";11.5;27;35.4;0.7;20;23.1;21;20;25.6
"1991-02";32;30.4;24.8;2.7;28.1;27.5;22.2;29.1;40.6
"1991-03";24.9;12.2;43.4;7.1;21.9;28.6;11.6;22.2;22
"1991-04";14.2;12.1;62.8;4.8;14.8;26.9;8.3;34.7;15.1
"1991-05";16.5;14.6;19.9;19.3;23.7;22.9;21.6;36.1;12.8
"1991-06";1.2;5.5;7.4;9.9;9.2;7.7;5.8;9.1;2.2
"1991-07";10;16.6;36.3;15.7;21.5;29;10.7;41;10
"1991-08";5.9;3.6;6.9;12.1;25.1;28.1;22.8;26.3;17.4
"1991-09";33.8;7.4;44.3;8.2;14.2;20.9;15.8;17.2;18.3
"1991-10";46;28.2;46.8;13.9;29.1;42.2;21.7;62.7;9.9
"1991-11";56.3;33.6;32.7;13.3;15.3;32.4;19.8;29.3;11.8
"1991-12";17.6;4.5;12.3;1.5;25.1;28.4;24.8;27.7;36.7
"1992-01";10;18;21;8.5;24.1;40;17.5;30;43.4
"1992-02";23.6;6.8;18.3;8.6;17.7;35.8;18.5;24.3;20.6
"1992-03";15.6;27.7;36.5;2.6;30.3;15;33.5;30.7;33.3
"1992-04";3.2;13.9;32.7;2;9.6;14.3;9;17.9;8
"1992-05";13.2;4.2;37.6;7;15.8;15.5;16.5;11;18.1
"1992-06";37.5;10.9;7.8;7.6;27.3;35.2;18.3;42.9;16.6
"1992-07";9.7;5;71.7;7.4;7.4;12;6.7;10.2;7.1
"1992-08";14.5;27;47.4;8.8;21.7;57;12.7;48.5;10.9
"1992-09";16.4;13.2;46.8;13.1;10;30.9;9;19;7.5
"1992-10";12.2;10.9;28.6;12.1;17.2;18.8;13.1;25.1;19.5
"1992-11";33;12.8;20.1;7.5;21.3;32.3;32.6;33.3;15.9
"1992-12";14.5;16;24.1;4.3;27.1;29;19.5;24.6;18.8
"1993-01";13.7;6.2;29.4;15.5;16.4;23.5;14.6;17.9;14.4
"1993-02";9.9;6.2;18.5;2.3;11.4;16.1;11.4;18.8;17.7
"1993-03";11.8;9.3;12.8;12.6;15.3;25.2;17.3;50.2;24.5
"1993-04";13;7.6;28.5;0.9;14.8;25.1;5.7;26.9;7.2
"1993-05";6.5;5.4;54.7;6.4;18.4;55.7;11.2;31;19.6
"1993-06";14.3;4.5;43.7;6.8;8.7;41.1;19;27.8;12.5
"1993-07";10.6;4.6;27.8;14.1;12.2;23.6;12.8;15.4;4.3
"1993-08";9.6;9.8;30;9.6;20.8;25;15.9;26.1;13.2
"1993-09";18.1;5.2;21.5;4.4;35.6;53.7;19.6;48.8;24.2
"1993-10";1.6;2.1;7.7;2.7;10.9;32.5;6.5;27.4;10.4
"1993-11";26.5;12.9;66.9;10.5;23.5;23.1;35.2;21.9;38.8
"1993-12";16.5;14.4;37.5;4;11.2;11.4;17.5;23.3;7.8
"1994-01";32;11.8;23.3;8.4;27.8;18.2;15.1;43.5;13.2
"1994-02";10;12.4;21.9;4.5;30;29.4;24;31.5;12.2
"1994-03";8.4;5.1;29;3.7;23.3;31.8;18;41.4;11.7
"1994-04";12.8;8.8;28.5;3;17.8;19.1;8;14.9;15.8
"1994-05";6.2;2.2;9.6;9.4;29.7;23;35.9;29.7;5.8
"1994-06";4.2;13.1;60.7;8;31.1;32.1;15.1;32.6;6.7
"1994-07";6.6;8.1;37.8;5.5;14.9;41.3;16.4;19.5;4
"1994-08";22;13.8;104;14;10.7;31.9;9.2;22.7;3.7
"1994-09";5.4;2.3;9.7;8.7;35.9;46.3;9.4;28.8;15.3
"1994-10";20.7;12;48.7;12.9;32.9;28.9;9.8;25.3;10.1
"1994-11";8.2;9.8;59.5;9.1;19.1;44;19.6;31.5;30.3
"1994-12";19.6;10.6;29.7;6.7;14.1;39.7;13.4;27.1;32.6
"1995-01";21.6;18;38.7;6.3;23.8;28.1;13.8;29;31.5
"1995-02";2;24.8;21.4;3;12.2;26.7;12.9;19;13.4
"1995-03";7.6;18.8;28;10;15.6;54.9;9.2;21.6;20.3
"1995-04";7.2;3;16.4;3;23.4;22;7.4;14.6;9.5
"1995-05";3.5;18.4;33.8;5.1;10.6;24.1;4.5;8.2;6.2
"1995-06";23.2;2.6;22.7;4;12.1;30.3;7.9;41.3;8.7
"1995-07";22.4;11.2;32.4;6;17;31.2;13.7;20;20.1
"1995-08";12.2;11;6.9;4.9;14.7;55.4;12.1;22.4;13.5
"1995-09";2.2;8.9;34.9;5.5;13.6;29.5;13.5;35.9;4.6
"1995-10";71.1;25.3;92.6;11.3;13.5;27;12.2;33.2;10
"1995-11";4.5;4.5;17.3;3.6;10.2;23.6;3.6;12.6;6
"1995-12";16.5;7.3;37.2;12.2;28.2;27.3;28.6;27;5.7
"1996-01";;4.9;39.8;2.9;21.4;15.7;27.4;8.9;30.2
"1996-02";14;14.8;13.8;3.9;19.4;43.3;25.5;23.9;9.8
"1996-03";9;2.3;8.8;0.7;16.1;15.6;19.3;21.1;13.7
"1996-04";21;6.8;49.4;2.8;15.3;26.4;17.1;10.7;16.4
"1996-05";4;3;16.7;3.9;16.9;16;8.1;23.2;6.3
"1996-06";10.6;7.1;53.8;10.5;23.3;36.8;28.3;27.6;21.8
"1996-07";6.1;7.8;34.4;8.5;15;27.9;9.5;26.3;6.8
"1996-08";9;27.7;22.3;4.1;17.6;25.5;15.5;18.1;11.6
"1996-09";10.7;17.3;44.8;7.9;30.6;28;13.2;34.5;12.7
"1996-10";42.4;18.4;97.9;5.9;12.7;25.1;10;19.2;18.3
"1996-11";7.2;7.7;7.4;7.7;18.2;24.3;20.8;25.6;7.6
"1996-12";8.2;7.2;35;9.5;12.9;17.3;10.5;16.7;5.7
"1997-01";9.1;15.2;23.8;3.5;10.2;19.1;17.1;21.6;14.9
"1997-02";16.2;17.8;30.7;4.8;18;30.4;14.6;24.8;30
"1997-03";8.6;9.4;25.7;5;22.1;23.1;17.9;27.2;10.9
"1997-04";5.3;2.5;13.3;1.9;12.8;12.7;7.3;18.7;5.7
"1997-05";3.8;1.4;13.3;8.3;18.4;27.3;5.8;18.8;7.1
"1997-06";7;4.2;23;14.7;6.6;21.2;5.6;11.3;3.8
"1997-07";14.8;13.6;62.5;20.9;24.2;38.1;39;23.3;22
"1997-08";11;8.5;39.9;13;15.4;25.3;21.1;16.2;12.7
"1997-09";22.3;11.7;60.6;6.5;21.8;48.4;15.4;33.4;15.5
"1997-10";44.3;23.8;92.4;7.3;24.1;9.3;12.1;35.6;20.4
"1997-11";10.5;15.2;41;5.7;30.8;20.2;29;34.3;16.1
"1997-12";26.1;16.5;16.8;1.7;28.1;73.2;26.9;34.1;13.5
"1998-01";29.8;11.2;66.4;7.5;22.7;22;20.3;18.4;3.5
"1998-02";7.2;12.8;22.2;5.5;22.1;21.3;11;16.8;5.5
"1998-03";4.1;8.6;35.5;5.5;16.8;17.3;13.1;11.3;8.3
"1998-04";8.1;6.9;18.6;5.5;5.9;19.3;7.9;8.5;9
"1998-05";6.7;2.8;19.4;2.9;19.4;18.1;14.7;35.3;7.1
"1998-06";3.7;7.3;39;11.3;14;23.4;6.3;11;3.6
"1998-07";7;14.8;10.6;9.7;15;17.4;17.7;15.3;8.7
"1998-08";9.8;6.8;17.3;20.3;41.5;71.6;24.7;52.9;27.1
"1998-09";11.6;9.7;85.9;9.8;12.2;19.4;4.9;16.8;8.9
"1998-10";12.1;17.9;32;3.8;21.6;41.8;28.3;27.6;6.4
"1998-11";25.2;12.4;43.8;13.6;15.2;50.5;15.5;27.7;12
"1998-12";21.6;22.4;34.5;5.4;31.4;65.9;15.1;34.5;7.6
"1999-01";7.7;15.2;41.3;5.2;24.3;19.2;16.1;31;7.3
"1999-02";8.7;11.6;13.5;4.4;26.8;33;13.4;17.8;4.2
"1999-03";46.5;22.6;26.6;4.6;15.7;8.2;4.3;12.1;6.6
"1999-04";10;9.6;17.5;5.7;19.4;9;8.3;26;4.5
"1999-05";6.7;12.9;36.3;20.9;23.8;21.6;12.6;25.2;7.5
"1999-06";10.2;13.7;19.9;10;27.2;33.6;7.2;31.3;14.6
"1999-07";6.5;6.9;47.2;10.6;19.7;22.6;11.9;25.7;8.1
"1999-08";18.3;16.7;17.8;3;15.5;30.8;12.5;20.3;8.1
"1999-09";56.5;22.6;65.8;16.1;29.1;38;16.9;16.1;9.7
"1999-10";35.2;28.4;31.9;8.7;47.1;27;27.8;32;43.8
"1999-11";8.2;17.4;19;11.3;10.6;20.6;13.2;13.4;5.3
"1999-12";14.5;10.8;26.3;3.4;26.1;46.1;18.5;45.4;9.8
"2000-01";3.3;13.6;24.7;5.2;14.9;11.6;19.6;15.7;6.9
"2000-02";7.8;18.6;19.9;10.2;19.3;13.5;18.3;28.9;8.4
"2000-03";18.8;8.6;23.9;6.7;47.6;18.3;29.5;51.5;21.3
"2000-04";16.3;2.5;10.2;2.1;11;22.6;5;18;1.7
"2000-05";9.2;6.7;8.5;3.4;20.5;29.8;13.3;30;5.2
"2000-06";8.5;5.3;23.5;12.8;22;21.5;11.9;15.8;18.2
"2000-07";8.8;8.1;2.7;3.3;10.6;48.9;7.8;30;10
"2000-08";9.1;20;48.1;14.7;24.5;26.6;28.2;19.9;7.6
"2000-09";10.6;14.1;55.4;8.4;38.5;11;27.4;38.1;42.2
"2000-10";22.6;15.3;48.5;3.8;32.5;17.9;47.8;25.5;34.8
"2000-11";46;28.3;43.6;9.7;11.1;14;2.9;8.2;6.8
"2000-12";16.6;11.1;55.4;10.1;17;22.6;28.8;24.4;8
"2001-01";10.6;7.5;24.2;7.5;19;41.8;18.8;21.2;16.8
"2001-02";17.5;7.3;39.7;2.6;24;81.9;10.2;20;20.8
"2001-03";8.5;6.8;67.6;6.4;15.1;11.7;15.1;10;5.7
"2001-04";4.6;10.8;21.7;6.1;15.5;29;6.5;35.7;4.8
"2001-05";11.4;3.1;42.4;6.2;34.4;21.9;16.9;28.3;25.3
"2001-06";12.1;6.6;45.7;2.3;17.1;19.1;7.8;21.3;13.3
"2001-07";15.9;9.7;25.9;42.6;23.4;30;25.7;41;8
"2001-08";3;9;38.2;14;22.8;39;21.5;29.5;8
"2001-09";6.1;5.4;67.9;9.2;38.7;26.3;20.9;37.6;8.3
"2001-10";31.5;51.9;94.3;8.4;21.9;28.4;12.7;39.1;23.9
"2001-11";4.7;14.8;12.6;2.5;22.4;32.6;10;66.8;11.8
"2001-12";22.2;4.3;44.7;5.7;9.9;18.1;11.8;9.4;14.8
"2002-01";13.2;15.4;25.9;11.5;17.2;37.3;14.2;27.4;19.9
"2002-02";11.8;14.5;21.4;6;14;12.7;9.5;13.3;16.9
"2002-03";18;7.9;37.8;0.9;22.9;32.4;19.3;19.5;9.7
"2002-04";5.8;3.8;41.1;9.4;21;72.2;13.7;28.6;11.7
"2002-05";11.7;6.6;25.2;10.4;10.5;25.8;5.2;47.3;7.5
"2002-06";1;13.3;60.5;12.6;8.5;27.8;10.5;15.4;4.5
"2002-07";14.9;9.8;29;14.7;15.6;18.8;8.1;26.5;13.1
"2002-08";21.6;19.6;33.1;18.7;33.7;26.9;19.1;31.3;22.6
"2002-09";15.6;41.9;21.3;6.8;21.7;44.5;24.6;50.6;25.1
"2002-10";4.8;10.5;42.7;7.8;18.7;43.7;13.8;30.1;7
"2002-11";28.9;21.1;41.2;8.4;22.7;21.2;21.2;37.6;7
"2002-12";15.2;6.8;34.8;6.1;45.5;52.9;20.6;39.3;22.4
"2003-01";13.8;8.2;77.6;8.5;16.6;17.6;7.1;28.8;6.2
"2003-02";10.4;11.1;28.4;3.4;25.7;54.3;18.3;50.1;9.4
"2003-03";16.2;20.5;47.8;3;22.6;34.2;15.3;27.7;16.4
"2003-04";6.9;4.3;36.2;6.4;23.9;42.7;19;24.4;16.7
"2003-05";3.9;11.5;50.5;18.8;13.2;14.2;16.7;15.3;10.8
"2003-06";6.8;6.4;37.7;8.3;13.6;44.8;15.9;17.2;6.7
"2003-07";5.7;12.6;46.7;6.5;21.4;33.2;14.8;24.7;6.3
"2003-08";8.8;14.6;20.1;8.2;24.9;42.5;19.4;16.7;7.3
"2003-09";45.9;13.8;75;10.1;13.8;31.7;8.2;15.5;15.1
"2003-10";11.8;7.9;39.7;4.3;10.9;35.6;6.9;22.5;7.8
"2003-11";13.1;19;24.4;7;17.1;27.2;18;28;12.4
"2003-12";8.9;13.9;18.6;6.4;26.8;24.2;19.8;37.8;17.7
"2004-01";5.2;20.9;28.7;10.5;18.1;24.3;9;35;11.3
"2004-02";34.5;5.2;48.1;6.8;20.3;30.2;7.9;22.6;32.5
"2004-03";6.6;14;29.9;4.2;32.1;40.4;26;38.5;31.4
"2004-04";7.5;4.2;33.3;7.7;33.7;24.5;26.8;14.8;15.2
"2004-05";8.9;6.2;24.3;12.8;15.1;19.4;16.8;12.4;11.8
"2004-06";8.3;4.8;35;4;21.5;41.9;15.9;31;5.5
"2004-07";4.6;9.4;124;8.7;24.8;33.2;16.3;18.8;6.1
"2004-08";5.5;4.5;35.2;2.2;14.9;44.2;16.8;35.1;9.1
"2004-09";42;17.9;102.8;15.7;27.6;27.9;13;61;15.2
"2004-10";100;32.3;90.3;9.9;21.9;34.9;13.4;27.4;16.4
"2004-11";8.4;20.1;32.3;12.8;22;40;14;36.8;20
"2004-12";7.7;7.6;18.5;4;18.7;35;10.1;24.3;24.8
"2005-01";9.1;18.8;36.4;4.5;17;71.1;13.8;59;12.2
"2005-02";6.9;4.3;12.8;4;40.2;17.3;30.1;23.3;20.3
"2005-03";6.5;6.7;11.8;3.5;9.9;25.5;6.3;26.8;6.8
"2005-04";4.1;9.4;16;6.2;27.6;19.6;18.5;35.2;8
"2005-05";2.3;2.2;2.1;2.5;13.4;12.2;6.1;2.7;3.2
"2005-06";2.8;21.5;16.5;7.7;16.2;35.9;13.3;25.9;8.9
"2005-07";9.3;15.5;44.8;13.2;13.7;31.6;8;17.6;7.7
"2005-08";9;18.6;40.3;14.2;22.5;35.2;10.4;36.3;14.4
"2005-09";67.1;23.5;98.1;7.1;18.7;32.8;12.6;32.2;11.2
"2005-10";14.2;13.6;55.4;6.3;21.6;38.1;8.4;20.3;17.7
"2005-11";10.7;14.1;38.3;5.4;14.3;41.9;12;29;5.9
"2005-12";9;11.3;24.4;7.9;19.6;24.1;26.8;23.8;22.8
"2006-01";17.3;6.4;29.7;7.5;22.1;43.9;17.8;29.9;24.5
"2006-02";16.5;13.1;50.2;4.9;16.2;42.9;19.3;27.2;35.3
"2006-03";8.2;16;36.7;4.9;12;20.1;16.7;23.9;7.7
"2006-04";9.4;7;25.4;16.1;19.3;29.6;15;22.9;14.4
"2006-05";8.8;8.3;10.3;3.1;9;30.5;10.5;28.5;3.1
"2006-06";23.6;3.6;16.1;4.9;21.7;28.3;12.9;17.2;46.5
"2006-07";16.2;6.7;50.5;13;23.3;45;7.2;36.7;14.5
"2006-08";8.8;13.1;43.6;18.7;13.2;20.3;9;15.9;16.1
"2006-09";9.2;18.1;44.8;6.9;13.5;38;14.6;35.4;16.8
"2006-10";39.8;20;54.7;6.4;35.9;23.5;38.7;44.4;15.8
"2006-11";53.5;21.9;25.2;5.3;31.2;34;15.9;52.7;22.7
"2006-12";25.6;16.8;42.4;5;25.2;44;21.4;45.2;15.4
"2007-01";9.6;8.5;18.1;6;12.6;28.1;10.1;26;6.4
